Uhrzeit,load,pv_infeed,diesel,battery ,,,,,,,,,,,
00:15,6.576,0,0,,,6.576,0,,6.576,0,,,,,
00:30,6.368,0,0,,,6.368,0,,6.368,0,,,,,
00:45,6.224,0,0,,,6.224,0,,6.224,0,,,,,
01:00,5.76,0,0,,,5.76,0,,5.76,0,,,,,
01:15,4.544,0,0,,,4.544,0,,4.544,0,,,,,
01:30,4.336,0,0,,,4.336,0,,4.336,0,,,,,
01:45,4.304,0,0,,,4.304,0,,4.304,0,,,,,
02:00,4.304,0,0,,,4.304,0,,4.304,0,,,,,
02:15,4.272,0,0,,,4.272,0,,4.272,0,,,,,
02:30,4.256,0,0,,,4.256,0,,4.256,0,,,,,
02:45,4.208,0,0,,,4.208,0,,4.208,0,,,,,
03:00,4.16,0,0,,,4.16,0,,4.16,0,,,,,
03:15,4.144,0,0,,,4.144,0,,4.144,0,,,,,
03:30,4.128,0,0,,,4.128,0,,4.128,0,,,,,
03:45,4.112,0,0,,,4.112,0,,4.112,0,,,,,
04:00,4.08,0,0,,,4.08,0,,4.08,0,,,,,
04:15,4.08,0,0,,,4.08,0,,4.08,0,,,,,
04:30,4.096,0,0,,,4.096,0,,4.096,0,,,,,
04:45,4.112,0,0,,,4.112,0,,4.112,0,,,,,
05:00,4.096,0,0,,,4.096,0,,4.096,0,,,,,
05:15,4.08,0,0,,,4.08,0,,4.08,0,,,,,
05:30,4.064,0,0,,,4.064,0,,4.064,0,,,,,
05:45,4.064,0,0,,,4.064,0,,4.064,0,,,,,
06:00,4.112,0,0,,,4.112,0,,4.112,0,,,,,
06:15,4.112,0,0,,,4.112,0,,4.112,0,,,,,
06:30,4.064,0,0,,,4.064,0,,4.064,0,,,,,
06:45,3.984,0,0,,,3.984,0,,3.984,0,,,,,
07:00,3.808,0,0,,,3.808,0,,3.808,0,,,,,
07:15,3.536,0,0,,,3.536,0,,3.536,0,,,,,
07:30,3.312,0,0,,,3.312,0,,3.312,0,,,,,
07:45,3.12,0,0,,,3.12,0,,3.12,0,,,,,
08:00,3.04,0,0,,,3.04,0,,3.04,0,,,,,
08:15,2.992,0,0,,,2.992,0,,2.992,0,,,,,
08:30,2.96,0,0,,,2.96,0,,2.96,0,,,,,
08:45,3.04,0,0,,,3.04,0,,3.04,0,,,,,
09:00,3.024,0,0,,,3.024,0,,3.024,0,,,,,
09:15,3.008,0,0,,,3.008,0,,3.008,0,,,,,
09:30,3.056,0.057,0,,,3.056,0.057,,3.056,0.057,,,,,
09:45,3.2,0.561,0,,,3.2,0.561,,3.2,0.561,,,,,
10:00,3.328,0.819,0,,,3.328,0.819,,3.328,0.819,,,,,
10:15,3.392,1.332,0,,,3.392,1.332,,3.392,1.332,,,,,
10:30,3.424,1.872,0,,,3.424,1.872,,3.424,1.872,,,,,
10:45,3.408,2.4,0,,,3.408,2.4,,3.408,2.4,,,,,
11:00,3.456,3.117,0,,,3.456,3.117,,3.456,3.117,,,,,
11:15,3.504,4.103,0,,,3.504,4.103,,3.504,4.103,,,,,
11:30,3.568,5.114,0,,,3.568,5.114,,3.568,5.114,,,,,
11:45,3.632,5.458,0,,,3.632,5.458,,3.632,5.458,,,,,
12:00,3.904,6.529,0,,,3.904,6.529,,3.904,6.529,,,,,
12:15,4.048,8.058,0,,,4.048,8.058,,4.048,8.058,,,,,
12:30,4.764,9.81,0,,,4.764,9.81,,4.764,9.81,,,,,
12:45,4.656,11.243,0,,,4.656,11.243,,4.656,11.243,,,,,
13:00,3.924,12.422,0,,,3.924,12.422,,3.924,12.422,,,,,
13:15,5.164,12.798,0,,,5.164,12.798,,5.164,12.798,,,,,
13:30,16.252,14.439,0,,,16.252,14.439,,16.252,14.439,,,,,
13:45,11.064,16.179,0,,,11.064,16.179,,11.064,16.179,,,,,
14:00,4.288,16.713,0,,,4.288,16.713,,4.288,16.713,,,,,
14:15,5.9,15.21,0,,,5.9,15.21,,5.9,15.21,,,,,
14:30,5.168,14.423,0,,,5.168,14.423,,5.168,14.423,,,,,
14:45,4.548,14.857,0,,,4.548,14.857,,4.548,14.857,,,,,
15:00,4.56,16.238,0,,,4.56,16.238,,4.56,16.238,,,,,
15:15,4.752,17.276,0,,,4.752,17.276,,4.752,17.276,,,,,
15:30,4.768,18.06,0,,,4.768,18.06,,4.768,18.06,,,,,
15:45,4.736,18.102,0,,,4.736,18.102,,4.736,18.102,,,,,
16:00,5.168,19.238,0,,,5.168,19.238,,5.168,19.238,,,,,
16:15,5.232,19.483,0,,,5.232,19.483,,5.232,19.483,,,,,
16:30,5.584,22.038,0,,,5.584,22.038,,5.584,22.038,,,,,
16:45,5.68,24.149,0,,,5.68,24.149,,5.68,24.149,,,,,
17:00,5.168,24.017,0,,,5.168,24.017,,5.168,24.017,,,,,
17:15,5.328,21.927,0,,,5.328,21.927,,5.328,21.927,,,,,
17:30,5.44,17.333,0,,,5.44,17.333,,5.44,17.333,,,,,
17:45,6.608,14.858,0,,,6.608,14.858,,6.608,14.858,,,,,
18:00,6.176,11.848,0,,,6.176,11.848,,6.176,11.848,,,,,
18:15,5.472,7.41,0,,,5.472,7.41,,5.472,7.41,,,,,
18:30,5.984,4.999,0,,,5.984,4.999,,5.984,4.999,,,,,
18:45,4.944,2.673,0,,,4.944,2.673,,4.944,2.673,,,,,
19:00,5.056,1.397,0,,,5.056,1.397,,5.056,1.397,,,,,
19:15,5.936,0.134,0,,,5.936,0.134,,5.936,0.134,,,,,
19:30,7.868,0,0,,,7.868,0,,7.868,0,,,,,
19:45,9.408,0,0,,,9.408,0,,9.408,0,,,,,
20:00,9.232,0,0,,,9.232,0,,9.232,0,,,,,
