,Uhrzeit,load,pv_infeed,diesel,battery ,battery_soc
day 1,00:15,6.576,0,0,6.988,0
,00:30,6.368,0,0,6.661,0
,00:45,6.224,0,0,6.446,0
,01:00,5.76,0,0,6.316,0
,01:15,4.544,0,0,5.018,0
,01:30,4.336,0,0,4.545,0
,01:45,4.304,0,0,4.496,0
,02:00,4.304,0,0,4.486,0
,02:15,4.272,0,0,4.47,0
,02:30,4.256,0,0,4.449,0
,02:45,4.208,0,0,4.419,0
,03:00,4.16,0,0,4.355,0
,03:15,4.144,0,0,4.342,0
,03:30,4.128,0,0,4.323,0
,03:45,4.112,0,0,4.304,0
,04:00,4.08,0,0,4.265,0
,04:15,4.08,0,0,4.271,0
,04:30,4.096,0,0,4.273,0
,04:45,4.112,0,0,4.29,0
,05:00,4.096,0,0,4.299,0
,05:15,4.08,0,0,4.263,0
,05:30,4.064,0,0,4.26,0
,05:45,4.064,0,0,4.245,0
,06:00,4.112,0,0,4.285,0
,06:15,4.112,0,0,4.302,0
,06:30,4.064,0,0,4.277,0
,06:45,3.984,0,0,4.19,0
,07:00,3.808,0,0,4.081,0
,07:15,3.536,0,0,3.79,0
,07:30,3.312,0,0,3.572,0
,07:45,3.12,0,0,3.373,0
,08:00,3.04,0,0,3.242,0
,08:15,2.992,0,0,3.185,0
,08:30,2.96,0,0,3.155,0
,08:45,3.04,0,0,3.183,0
,09:00,3.024,0,0,3.209,0
,09:15,3.008,0,0,3.176,0
,09:30,3.056,0.057,0,3.157,0
,09:45,3.2,0.561,0,2.964,0
,10:00,3.328,0.819,0,2.876,0
,10:15,3.392,1.332,0,2.588,0
,10:30,3.424,1.872,0,2.17,0
,10:45,3.408,2.4,0,1.685,0
,11:00,3.456,3.117,0,0.952,0
,11:15,3.504,4.103,0,-0.024,0
,11:30,3.568,5.114,0,-1.016,0
,11:45,3.632,5.458,0,-1.328,0
,12:00,3.904,6.529,0,-2.214,0
,12:15,4.048,8.058,0,-3.64,0
,12:30,4.764,9.81,0,-5.335,0
,12:45,4.656,11.243,0,-6.231,0
,13:00,3.924,12.422,0,-8.168,0
,13:15,5.164,12.798,0,-8.542,0
,13:30,16.252,14.439,0,-0.297,0
,13:45,11.064,16.179,0,-1.625,0
,14:00,4.288,16.713,0,-12.196,0
,14:15,5.9,15.21,0,-10.071,0
,14:30,5.168,14.423,0,-8.679,0
,14:45,4.548,14.857,0,-9.942,0
,15:00,4.56,16.238,0,-11.399,0
,15:15,4.752,17.276,0,-12.36,0
,15:30,4.768,18.06,0,-13.029,0
,15:45,4.736,18.102,0,-13.063,0
,16:00,5.168,19.238,0,-13.999,0
,16:15,5.232,19.483,0,-14.001,0
,16:30,5.584,22.038,0,-16.262,0
,16:45,5.68,24.149,0,-18.134,0
,17:00,5.168,24.017,0,-18.325,0
,17:15,5.328,21.927,0,-16.557,0
,17:30,5.44,17.333,0,-11.519,0
,17:45,6.608,14.858,0,-8.501,0
,18:00,6.176,11.848,0,-5.044,0
,18:15,5.472,7.41,0,-1.473,0
,18:30,5.984,4.999,0,1.647,0
,18:45,4.944,2.673,0,3.261,0
,19:00,5.056,1.397,0,4.169,0
,19:15,5.936,0.134,0,5.467,0
,19:30,7.868,0,0,7.252,0
,19:45,9.408,0,0,9.166,0
,20:00,9.232,0,0,9.679,0
,20:15,9.952,0,0,9.92,0
,20:30,9.6,0,0,9.76,0
,20:45,9.632,0,0,9.977,0
,21:00,9.216,0,0,9.678,0
,21:15,9.792,0,0,9.906,0
,21:30,9.856,0,0,10.128,0
,21:45,9.488,0,0,9.823,0
,22:00,9.216,0,0,9.486,0
,22:15,9.008,0,0,9.306,0
,22:30,8.736,0,0,9.132,0
,22:45,8.192,0,0,8.577,0
,23:00,7.68,0,0,8.048,0
,23:15,7.28,0,0,7.53,0
,23:30,6.944,0,0,7.313,0
,23:45,6.304,0,0,6.734,0
,00:00,5.92,0,0,6.238,0
day 2,00:15,5.008,0,0,5.559,0
,00:30,4.624,0,0,4.907,0
,00:45,4.576,0,0,4.734,0
